farm_name,lat,lon,E_utm,N_utm
10-27,31.55332849319081,48.70462584376289,282118.6068,3493211.86125
10-29,31.552810709974427,48.701645910186606,281834.47086,3493160.3902999996
10-31,31.555480329571353,48.70017311334738,281700.8559,3493459.3232
11-02,31.540701470248006,48.74201766957555,285639.8745,3491737.9966
11-04,31.540450858918607,48.74476947431995,285900.6045,3491704.8241
11-06,31.540210051418406,48.74741308766914,286151.0845,3491672.9566
11-08,31.53996348430926,48.75011948752159,286407.5145,3491640.3340999996
11-10,31.539722587326665,48.75276307982643,286657.99450000003,3491608.4691
11-12,31.539475882999618,48.75546945921424,286914.42449999996,3491575.8441
11-14,31.53923487400167,48.75811303098759,287164.9045,3491543.9791
11-16,31.53898936032808,48.76080508869544,287419.9795,3491511.5266000004
11-18,31.538743001012296,48.76350621128708,287675.91449999996,3491478.9691
11-20,31.53850000216519,48.76616938310624,287928.25450000004,3491446.8641
11-22,31.53825876915149,48.768812913730564,288178.7345,3491414.9991
11-24,31.53801172265467,48.77151933518931,288435.17449999996,3491382.3740999997
11-26,31.537770377640594,48.77416284519611,288685.6545,3491350.5090999994
11-28,31.536907372517383,48.77692506709589,288946.00885000004,3491249.4963333327
11-30,31.539250264321826,48.779757772480295,289220.26910000003,3491503.8000250002
11-32,31.539824880350647,48.782648721922754,289496.07561666664,3491561.945466667
12-01,31.53320183903672,48.73750810039662,285194.47684,3490915.3250200003
12-02,31.541139912292948,48.73834158490058,285291.809425,3491793.8141
12-03,31.529490638630417,48.73424646400711,284876.2229,3490510.25465
12-04,31.5413884235342,48.73561149382371,285033.1395,3491826.7266
12-06,31.54162898096646,48.7329676744992,284782.6445,3491858.5941
12-08,31.541875201843407,48.73026115130935,284526.2095,3491891.2191
12-10,31.54211567257028,48.72761746892535,284275.7295,3491923.0891
12-12,31.53328686188184,48.721173675789885,283643.47815,3490956.9196499996
12-13,31.533167996716184,48.72116889650214,283642.75,3490943.75
12-14,31.542602113943396,48.72226716999495,283768.8095,3491987.5816
12-15,31.533534373678698,48.7184503858036,283385.432825,3490989.747975
12-16,31.54284420906554,48.71960382540889,283516.4695,3492019.6891
12-17,31.533849711203896,48.71572903300945,283127.72949999996,3491030.0990999998
12-18,31.543092273736097,48.716873871415835,283257.81950000004,3492052.5966
12-19,31.534091613740934,48.71306593224447,282875.3895,3491062.1991
12-20,31.543334209986988,48.714210507268845,283005.4795,3492084.6991
12-21,31.534331737239764,48.710422449693006,282624.9095,3491094.0691000004
12-22,31.543334209986988,48.714210507268845,283005.4795,3492084.6991
12-23,31.534577486993676,48.70771605763104,282368.4695,3491126.6941
12-24,31.54382008309299,48.70886010518076,282498.5595,3492149.1915999996
12-25,31.53481745339048,48.70507255589973,282117.9895,3491158.5590999997
12-26,31.54406008306277,48.7062163419768,282248.0795,3492181.0590999997
12-27,31.535370760335507,48.701584829301325,281788.0691625,3491226.854525
12-28,31.544304322761988,48.70352549356317,281993.1395,3492213.4966
12-30,31.545471330441185,48.70091735199084,281748.2029714286,3492348.087585714
13-02,31.531594960053027,48.74088881148655,285511.8486,3490730.53575
13-04,31.53133370005984,48.74363749435791,285772.283175,3490696.1869
13-06,31.531092914524955,48.74628087493368,286022.765525,3490664.3205500003
13-08,31.53084635462561,48.74898701415892,286279.195775,3490631.697575
